Energy(keV)	Counts
104,805	87108
105,031	164618
105,257	253832
105,484	296899
105,710	261655
105,936	172016
106,162	89832
106,388	43159
106,614	26004
106,840	21678
107,066	20556
107,292	20463
107,518	20605
107,744	20766
107,970	20924
108,197	20745
108,423	20644
108,649	20857
108,875	21206
109,101	21561
109,327	22097
109,553	22241
109,779	21789
110,005	21629
110,231	21285
110,457	21041
110,684	21212
110,910	20863
111,136	21071
111,362	21065
111,588	21104
111,814	21053
112,040	20719
112,266	21207
112,492	21217
112,718	20977
112,944	21158
113,170	20935
113,397	20995
113,623	20892
113,849	20964
114,075	20946
114,301	20978
114,527	20527
114,753	20567
114,979	20637
115,205	20406
115,431	20383
115,657	20267
115,883	20150
116,110	20461
116,336	20885
116,562	21733
116,788	22699
117,014	23223
117,240	22852
117,466	21673
117,692	20440
117,918	20091
118,144	19688
118,370	19582
118,596	19412
118,823	19402
119,049	19167
119,275	18994
119,501	18997
119,727	19156
119,953	19197
120,179	19118
120,405	18950
120,631	19194
120,857	19327
121,083	19849
121,309	20132
121,536	21594
121,762	27557
121,988	53904
122,214	145747
122,440	382007
122,666	806060
122,892	1303458
123,118	1570046
123,344	1395648
123,570	916581
123,796	445036
124,022	163610
124,249	50240
124,475	18094
124,701	11435
124,927	10433
125,153	10543
125,379	10116
125,605	9937
125,831	10054
126,057	9820
126,283	9884
126,509	9815
126,735	9728
126,962	9737
127,188	9762
127,414	9822
127,640	9594
127,866	9650
128,092	9768
128,318	9767
128,544	9561
128,770	9744
128,996	9701
129,222	9808
129,448	9633
129,675	9606
129,901	9786
130,127	9677
130,353	9749
130,579	9621
130,805	9853
131,031	9857
131,257	10191
131,483	10303
131,709	10369
131,935	9984
132,162	9864
132,388	9599
132,614	9469
132,840	9642
133,066	9415
133,292	9458
133,518	9522
133,744	9410
133,970	9340
134,196	9837
134,422	9588
134,648	9661
134,875	9574
135,101	9427
135,327	9609
135,553	9585
135,779	9320
136,005	9193
136,231	9248
136,457	9180
136,683	8890
136,909	9338
137,135	9201
137,361	9153
137,588	9076
137,814	9185
138,040	9119
138,266	8952
138,492	9157
138,718	9186
138,944	9014
139,170	9246
139,396	8891
139,622	9041
139,848	8978
140,074	9095
140,301	8950
140,527	9046
140,753	9081
140,979	8784
141,205	8904
141,431	8854
141,657	9034
141,883	8906
142,109	8895
142,335	8903
142,561	8964
142,787	8612
143,014	9079
143,240	8960
143,466	8992
143,692	8853
143,918	8863
144,144	8950
144,370	8750
144,596	8837
144,822	8957
145,048	9185
145,274	8970
145,500	9381
145,727	9417
145,953	9891
146,179	9406
146,405	9253
146,631	8892
146,857	8866
147,083	8718
147,309	8805
147,535	8865
147,761	8866
147,987	8736
148,213	8952
148,440	8934
148,666	8873
148,892	8901
149,118	8796
149,344	8919
149,570	8961
149,796	8909
150,022	8685
150,248	8969
150,474	8924
150,700	8837
150,927	8849
151,153	8813
151,379	8861
151,605	8926
151,831	8911
152,057	8979
152,283	8785
152,509	8928
152,735	9001
152,961	8803
153,187	8908
153,413	9005
153,640	8918
153,866	8935
154,092	9030
154,318	8773
154,544	8987
154,770	8899
154,996	8915
155,222	9159
155,448	9047
155,674	8974
155,900	9275
156,126	9272
156,353	9281
156,579	9226
156,805	9045
157,031	9141
157,257	9068
157,483	9070
157,709	9354
157,935	9134
158,161	9099
158,387	9093
158,613	9063
158,839	9055
159,066	9156
159,292	9319
159,518	9017
159,744	9027
159,970	9036
160,196	9230
160,422	9296
160,648	9334
160,874	9376
161,100	9168
161,326	9284
161,552	9527
161,779	9474
162,005	9310
162,231	9660
162,457	9157
162,683	9379
162,909	9284
163,135	9457
163,361	9294
163,587	9324
163,813	9296
164,039	9459
164,265	9541
164,492	9416
164,718	9421
164,944	9525
165,170	9549
165,396	9649
165,622	9457
165,848	9562
166,074	9712
166,300	9673
166,526	9441
166,752	9484
166,978	9706
167,205	9682
167,431	9560
167,657	9516
167,883	9664
168,109	9693
168,335	9604
168,561	9551
168,787	9644
169,013	9605
169,239	9695
169,465	9712
169,691	9723
169,918	9867
170,144	9613
170,370	9608
170,596	9709
170,822	9808
171,048	9643
171,274	9721
171,500	9901
171,726	10223
171,952	10762
172,178	11379
172,405	12123
172,631	11939
172,857	11283
173,083	10670
173,309	9926
173,535	9842
173,761	9613
173,987	9668
174,213	9720
174,439	9876
174,665	10246
174,891	12043
175,118	17739
175,344	30384
175,570	52604
175,796	78204
176,022	92909
176,248	85837
176,474	62423
176,700	37621
176,926	20666
177,152	12863
177,378	10168
177,604	9492
177,831	9517
178,057	9525
178,283	9595
178,509	9605
178,735	9766
178,961	9573
179,187	9210
179,413	9520
179,639	9344
179,865	9327
180,091	9354
180,317	9479
180,544	9489
180,770	9496
180,996	9481
181,222	9338
181,448	9271
181,674	9355
181,900	9291
182,126	9493
182,352	9593
182,578	9490
182,804	9303
183,030	9309
183,257	9600
183,483	9495
183,709	9457
183,935	9559
184,161	9542
184,387	9484
184,613	9531
184,839	9588
185,065	9376
185,291	9449
185,517	9532
185,743	9472
185,970	9481
186,196	9724
186,422	9490
186,648	9844
186,874	10022
187,100	10512
187,326	12186
187,552	14156
187,778	15928
188,004	16691
188,230	15289
188,456	13370
188,683	11280
188,909	10497
189,135	9962
189,361	9824
189,587	9717
189,813	9745
190,039	9869
190,265	9868
190,491	9711
190,717	9755
190,943	9789
191,169	10041
191,396	9919
191,622	9741
191,848	9783
192,074	9906
192,300	9860
192,526	9897
192,752	10058
192,978	9851
193,204	9872
193,430	9834
193,656	9968
193,883	9923
194,109	9838
194,335	10001
194,561	9998
194,787	9901
195,013	9914
195,239	9970
195,465	10045
195,691	10074
195,917	10061
196,143	10021
196,369	10061
196,596	10063
196,822	9948
197,048	9838
197,274	10047
197,500	9889
197,726	10180
197,952	10039
198,178	10103
198,404	10280
198,630	10165
198,856	10303
199,082	10066
199,309	10164
199,535	9949
199,761	9992
199,987	9948
200,213	10252
200,439	9971
200,665	10149
200,891	10057
201,117	10076
201,343	10035
201,569	10112
201,795	10118
202,022	10185
202,248	10168
202,474	10128
202,700	10329
202,926	10653
203,152	11413
203,378	12594
203,604	13263
203,830	13655
204,056	13315
204,282	12077
204,508	11401
204,735	10529
204,961	10143
205,187	10113
205,413	9953
205,639	10230
205,865	10237
206,091	10122
206,317	10133
206,543	10162
206,769	10566
206,995	10877
207,221	11438
207,448	12084
207,674	12546
207,900	12455
208,126	11735
208,352	11125
208,578	10324
208,804	10221
209,030	10352
209,256	10145
209,482	10224
209,708	10068
209,934	10064
210,161	10098
210,387	9936
210,613	9937
210,839	10038
211,065	10030
211,291	9951
211,517	9901
211,743	10071
211,969	10116
212,195	10029
212,421	10129
212,648	10036
212,874	10020
213,100	10096
213,326	9802
213,552	9934
213,778	9962
214,004	10105
214,230	9985
214,456	10093
214,682	10003
214,908	10236
215,134	10097
215,361	10182
215,587	10000
215,813	10084
216,039	9982
216,265	10087
216,491	9831
216,717	9990
216,943	10070
217,169	9883
217,395	9910
217,621	9810
217,847	9868
218,074	9857
218,300	9836
218,526	9940
218,752	9876
218,978	9968
219,204	9853
219,430	9700
219,656	9639
219,882	9897
220,108	9652
220,334	9747
220,560	9814
220,787	9816
221,013	9755
221,239	9606
221,465	9621
221,691	9703
221,917	9624
222,143	9754
222,369	9646
222,595	9803
222,821	9575
223,047	9775
223,273	9588
223,500	9543
223,726	9572
223,952	9551
224,178	9541
224,404	9512
224,630	9567
224,856	9464
225,082	9521
225,308	9564
225,534	9499
225,760	9518
225,986	9422
226,213	9437
226,439	9465
226,665	9733
226,891	9983
227,117	10166
227,343	10609
227,569	10421
227,795	10433
228,021	10040
228,247	9637
228,473	9605
228,699	9395
228,926	9326
229,152	9420
229,378	9282
229,604	9209
229,830	9386
230,056	9291
230,282	9120
230,508	9317
230,734	9236
230,960	9290
231,186	9262
231,412	9497
231,639	9709
231,865	9546
232,091	9465
232,317	9436
232,543	9280
232,769	9224
232,995	9058
233,221	9104
233,447	9069
233,673	8977
233,899	9101
234,126	8779
234,352	9063
234,578	8940
234,804	9068
235,030	9090
235,256	9099
235,482	8950
235,708	9017
235,934	8976
236,160	8717
236,386	8785
236,612	8901
236,839	8952
237,065	8900
237,291	8752
237,517	8851
237,743	8778
237,969	8766
238,195	8802
238,421	8726
238,647	8730
238,873	8762
239,099	8677
239,325	8627
239,552	8740
239,778	8675
240,004	8759
240,230	8732
240,456	8709
240,682	8539
240,908	8809
241,134	8657
241,360	8715
241,586	8727
241,812	8495
242,038	8820
242,265	8973
242,491	8747
242,717	8675
242,943	8612
243,169	8694
243,395	8722
243,621	8364
243,847	8802
244,073	8470
244,299	8548
244,525	8627
244,751	8609
244,978	8843
245,204	8775
245,430	8709
245,656	8889
245,882	9265
246,108	10734
246,334	15499
246,560	28371
246,786	55344
247,012	97927
247,238	143491
247,464	171479
247,691	161470
247,917	121913
248,143	74292
248,369	38244
248,595	19218
248,821	11361
249,047	8754
249,273	8293
249,499	8196
249,725	8236
249,951	8252
250,177	8223
250,404	8141
250,630	7862
250,856	8117
251,082	8205
251,308	8448
251,534	8265
251,760	8239
251,986	8472
252,212	8370
252,438	8136
252,664	8233
252,891	7956
253,117	7950
253,343	8082
253,569	7994
253,795	7916
254,021	7719
254,247	7913
254,473	8010
254,699	8102
254,925	8012
255,151	8046
255,377	8009
255,604	7710
255,830	7855
256,056	7884
